id,title,text
1,Запуск нового спутника связи,"Российская компания «Спутникс» успешно вывела на орбиту новый телекоммуникационный аппарат «Заря-3». Спутник массой 850 кг будет обеспечивать связь и интернет в Арктической зоне. Старт состоялся 14 июня с космодрома Восточный. Расчётный срок эксплуатации — 12 лет. Сигнал с аппарата уже принят центром управления полётами в подмосковном Королёве."
2,Цены на жильё в крупных городах,"По данным аналитического центра ЦИАН, в мае средняя стоимость квадратного метра на первичном рынке Москвы выросла на 1,8% и достигла 412 тысяч рублей. В Санкт-Петербурге рост составил 1,2%, в Казани — 0,9%. Эксперты связывают подорожание с сокращением предложения и снижением ключевой ставки. Покупательская активность при этом снизилась на 7% по сравнению с апрелем."
3,Победа на чемпионате по шахматам,"Российский гроссмейстер Ян Непомнящий выиграл крупный международный турнир по шахматам в Бухаресте. В финале он обыграл китайца Дин Лижэня со счётом 6,5:4,5. Призовой фонд турнира составил 500 тысяч евро. Это уже третий титул Непомнящего за год. Следующий крупный старт — кубок мира в сентябре."
4,Новый закон о маркировке товаров,"Госдума приняла в третьем чтении закон, расширяющий систему обязательной маркировки «Честный знак» на детские игрушки и канцелярию. Производители обязаны нанести цифровые коды на упаковку с 1 сентября 2026 года. Закон затронет около 14 тысяч компаний. Бизнес-сообщество опасается роста цен на 5–8% из-за дополнительных расходов на оборудование."
5,Открытие нового корпуса больницы,"В Новосибирске открыли новый корпус областной клинической больницы. Здание площадью 28 тысяч квадратных метров рассчитано на 300 коек и оснащено современным оборудованием для кардиохирургии. Строительство велось три года, общая стоимость проекта — 4,2 миллиарда рублей. Первые пациенты будут приняты уже на следующей неделе."
6,Засуха в южных регионах,"В Ростовской области и Краснодарском крае объявлен режим ЧС из-за продолжительной засухи. Министерство сельского хозяйства прогнозирует снижение урожая зерновых на 15–20%. Аграриям обещают компенсации из федерального бюджета. Метеорологи не ожидают значительных осадков в ближайшие две недели. Уровень воды в реке Дон опустился до минимума за десять лет."
7,Новая модель электромобиля от АвтоВАЗа,"АвтоВАЗ представил прототип первого серийного электрокроссовера «Lada e-Niva». Запас хода по заявлению производителя — 380 километров на одной зарядке. Старт продаж намечен на первый квартал 2027 года, цена ожидается в диапазоне 2,9–3,4 миллиона рублей. На презентации в Тольятти присутствовал министр промышленности. Прототип уже прошёл первые краш-тесты."
8,Реформа школьного питания,"С 1 сентября 2026 года в школах начнёт действовать обновлённый стандарт питания. Из меню исключат сосиски, колбасы и сладкие газированные напитки. Доля свежих овощей и фруктов вырастет вдвое. Роспотребнадзор провёл проверки в 8 тысячах школ и выявил нарушения в 12% учреждений. На реализацию реформы выделено 23 миллиарда рублей."
9,Кибератака на банковский сервис,"Крупный российский банк сообщил о кибератаке на свой мобильный сервис, продолжавшейся около пяти часов 13 июня. Часть клиентов не могла войти в приложение и совершать переводы. По заявлению пресс-службы, утечки персональных данных и денежных средств не произошло. Атака классифицирована как DDoS. Следственный комитет начал проверку."
10,Премьера российского фильма,"В прокат вышел исторический фильм «Стрелы рассвета» режиссёра Алексея Учителя. Картина рассказывает о событиях гражданской войны 1918 года в Сибири. Бюджет ленты составил 380 миллионов рублей. За первые выходные сборы превысили 95 миллионов. Критики отмечают сильную операторскую работу и игру актёра второго плана Юрия Колокольникова."
